municipio,confirmados,mortes
TOTAL NO ESTADO,332708,16475
Importados/Indefinidos,56,0
Adamantina,68,5
Adolfo,24,2
Aguaí,82,4
Águas da Prata,2,1
Águas de Lindóia,52,4
Águas de Santa Bárbara,7,0
Águas de São Pedro,9,0
Agudos,141,3
Alambari,21,0
Alfredo Marcondes,6,1
Altair,2,0
Altinópolis,26,2
Alto Alegre,8,1
Alumínio,53,4
Álvares Florence,8,0
Álvares Machado,67,1
Álvaro de Carvalho,3,2
Alvinlândia,1,0
Americana,787,33
Américo Brasiliense,152,2
Américo de Campos,38,0
Amparo,180,8
Analândia,7,0
Andradina,68,5
Angatuba,77,2
Anhembi,2,0
Anhumas,6,0
Aparecida,35,0
Aparecida d'Oeste,11,0
Apiaí,47,2
Araçariguama,90,2
Araçatuba,1122,32
Araçoiaba da Serra,107,3
Aramina,11,1
Arandu,13,2
Arapeí,1,1
Araraquara,1111,14
Araras,544,17
Arco-Íris,,
Arealva,6,0
Areias,1,0
Areiópolis,21,3
Ariranha,48,0
Artur Nogueira,95,2
Arujá,635,44
Aspásia,21,0
Assis,261,13
Atibaia,284,11
Auriflama,54,2
Avaí,14,0
Avanhandava,7,0
Avaré,139,10
Bady Bassitt,129,5
Balbinos,,
Bálsamo,35,0
Bananal,11,0
Barão de Antonina,10,0
Barbosa,4,0
Bariri,90,2
Barra Bonita,158,4
Barra do Chapéu,4,0
Barra do Turvo,15,1
Barretos,1205,41
Barrinha,126,6
Barueri,2371,223
Bastos,10,0
Batatais,79,1
Bauru,1760,34
Bebedouro,111,6
Bento de Abreu,5,0
Bernardino de Campos,25,0
Bertioga,705,17
Bilac,10,0
Birigui,354,13
Biritiba-Mirim,86,7
Boa Esperança do Sul,27,1
Bocaina,52,2
Bofete,50,3
Boituva,307,9
Bom Jesus dos Perdões,38,0
Bom Sucesso de Itararé,,
Borá,1,0
Boracéia,17,0
Borborema,33,0
Borebi,11,1
Botucatu,771,16
Bragança Paulista,661,13
Braúna,19,1
Brejo Alegre,5,0
Brodowski,99,2
Brotas,14,0
Buri,42,4
Buritama,49,4
Buritizal,6,0
Cabrália Paulista,22,0
Cabreúva,394,21
Caçapava,228,8
Cachoeira Paulista,52,1
Caconde,6,0
Cafelândia,23,2
Caiabu,9,1
Caieiras,723,54
Caiuá,2,0
Cajamar,719,46
Cajati,113,2
Cajobi,24,1
Cajuru,46,2
Campina do Monte Alegre,43,0
Campinas,10054,384
Campo Limpo Paulista,295,33
Campos do Jordão,171,1
Campos Novos Paulista,2,0
Cananéia,48,3
Canas,2,0
Cândido Mota,46,1
Cândido Rodrigues,18,0
Canitar,3,0
Capão Bonito,130,10
Capela do Alto,100,0
Capivari,298,0
Caraguatatuba,484,31
Carapicuíba,2789,171
Cardoso,27,1
Casa Branca,33,1
Cássia dos Coqueiros,10,0
Castilho,22,1
Catanduva,553,29
Catiguá,34,1
Cedral,27,1
Cerqueira César,23,1
Cerquilho,70,7
Cesário Lange,26,2
Charqueada,106,3
Chavantes,8,0
Clementina,11,0
Colina,66,7
Colômbia,15,1
Conchal,48,1
Conchas,45,3
Cordeirópolis,343,5
Coroados,21,2
Coronel Macedo,2,2
Corumbataí,19,0
Cosmópolis,303,7
Cosmorama,34,2
Cotia,1603,96
Cravinhos,80,7
Cristais Paulista,6,0
Cruzália,,
Cruzeiro,98,3
Cubatão,2640,97
Cunha,12,0
Descalvado,41,2
Diadema,3763,201
Dirce Reis,1,0
Divinolândia,2,0
Dobrada,14,0
Dois Córregos,14,2
Dolcinópolis,15,2
Dourado,28,0
Dracena,83,4
Duartina,28,1
Dumont,33,0
Echaporã,2,1
Eldorado,41,1
Elias Fausto,56,4
Elisiário,6,0
Embaúba,19,1
Embu das Artes,1404,98
Embu-Guaçu,429,14
Emilianópolis,11,2
Engenheiro Coelho,127,3
Espírito Santo do Pinhal,82,2
Espírito Santo do Turvo,9,0
Estiva Gerbi,46,2
Estrela d'Oeste,142,5
Estrela do Norte,7,0
Euclides da Cunha Paulista,8,0
Fartura,29,1
Fernando Prestes,13,1
Fernandópolis,563,11
Fernão,0,0
Ferraz de Vasconcelos,1091,82
Flora Rica,5,0
Floreal,16,1
